                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.247,                   1.93,                0.75303,                  1.114,                0.61938,                0.75747,                0.63066,                0.26675,                0.57145,                0.68443,                0.56457,                0.23229,                 2.2364,                 3.7847,                 1.1524,                 1.7292,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2465,                 1.9899,                0.76142,                  1.117,                0.63234,                0.74867,                0.64202,                0.28572,                0.59488,                0.70433,                0.57767,                0.24542,                 2.1358,                 3.6762,                 1.1664,                 1.6701,               0.001109,               0.001109,               0.001109
                     47,                 1.2199,                 1.9182,                0.73872,                 1.0776,                0.67137,                0.76814,                 0.6924,                0.31094,                0.62341,                0.71327,                0.62248,                0.26511,                 1.9388,                 3.1971,                 1.0984,                 1.5584,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2942,                 2.0149,                0.74594,                 1.1148,                0.66497,                0.74473,                0.67867,                0.29547,                0.59646,                0.71941,                0.60678,                 0.2453,                 2.0763,                 3.5314,                 1.0914,                 1.6302,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2732,                  1.967,                0.76098,                 1.0999,                0.62998,                0.71114,                0.63998,                0.25403,                0.58556,                0.67257,                0.57188,                0.21556,                 2.3891,                 4.1696,                 1.1066,                 1.9139,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2771,                 1.9147,                0.75166,                 1.1008,                0.58793,                0.70959,                0.61721,                0.24335,                0.54391,                0.69204,                0.56174,                0.21733,                 2.3083,                 3.6816,                  1.114,                 1.8604,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1827,                 1.8958,                0.72301,                 1.0956,                0.57154,                0.76283,                0.63889,                0.26334,                0.51497,                0.69529,                0.54999,                0.21113,                 2.0281,                 3.1301,                 1.0945,                 1.6316,                0.00101,                0.00101,                0.00101
                     52,                  1.221,                 2.0227,                0.73615,                 1.0919,                0.55405,                0.78723,                0.64336,                0.26835,                0.49575,                0.70973,                0.54621,                 0.2065,                 2.1554,                 3.4517,                 1.1851,                 1.7004,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2323,                 1.9003,                0.72663,                 1.0925,                0.58243,                0.75295,                0.64018,                0.26895,                0.51261,                0.66269,                0.52605,                0.20523,                 2.2132,                 3.5216,                 1.2538,                 1.7403,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2291,                  1.924,                0.74297,                 1.0905,                0.58863,                0.75929,                0.62092,                0.26254,                0.52757,                0.68319,                0.52222,                0.20698,                 2.0753,                  3.201,                 1.2895,                 1.6367,              0.0009506,              0.0009506,              0.0009506
